customer_text,amazon_reply
@AmazonHelp U r a fraud. Refund the money and provide additional compensation. Collect ur shit back.,@416112 Have you reported the issue to our support team from the link provided above? ^SA
@AmazonHelp reported through feedback but not posted. How convenient. Now pick automatically rescheduled for no fault of mine. Compensate for screw up.,@416112 to see that such instances never repeat. Write to us here: https://t.co/GIJyeYqKE0 &amp; necessary escalations will be done. 2/2 ^MJ
@AmazonHelp reported through feedback but not posted. How convenient. Now pick automatically rescheduled for no fault of mine. Compensate for screw up.,"@416112 I'm sorry for rescheduling the pick up, we don't compensate for the network discrepancy but we'll take necessary actions 1/2^MJ"
@117634 help….installed new app and it’s showing page numbers now.  How do I revert it back to showing locations instead?,@416387 We'd like to look into this with you! Please get in touch with us by phone or chat: https://t.co/hApLpMlfHN ^KJ
@AmazonHelp @117634 when I have to spend 15 minutes trying things I already did to ONLY then be xFered to a kindle specialist…. #inefficient,"@416387 Were you able to connect to with a Kindle Specialist? If so, what information or insight was provided?  ^KP"
"@AmazonHelp Sorry , I use amazon .com",@416527 Our best option would be to have you contact us directly. You can contact us here https://t.co/hApLpMlfHN via chat/email ^AY
@AmazonHelp enter your name associated with your account and I forgot the name so how can I get my account back and all what I want is,"@416527 Normally it would be your own name, as the account holder? Or do you mean you don't have the email address? ^AS"
"@115850  @117176
In shock &amp; trauma! Fake order processed and charged &amp; Payment processed from closed credit card without owners consent","@416536 That is definitely unexpected. Have you reported this to our support team?  If not, please do here: https://t.co/vlvfJr4nN9 ^SK"
"@AmazonHelp Yes I have mailed and called, but received no response yet @115850 @117176",@416536 Sorry about the delay. We'd like to help. Could you please fill in the details here : https://t.co/beaaDm0muc ^PR
@AmazonHelp Review complied with all the guidelines. I posted pics and details. Been a loyal #Amazon customer in #USA since 2008 and now in #India. Sad!,@240244 Sorry for the unpleasant experience.  I will have this feedback forwarded to the concerned team internally. ^MK
@AmazonHelp Thank you. How will they contact me? And how do they know which order number this is in reference to?,@240244 email correspondence that was sent to you by our team. 3/3 ^NK
@AmazonHelp Thank you. How will they contact me? And how do they know which order number this is in reference to?,"@240244 https://t.co/vlvfJr4nN9. If you want to know the reason for the rejection of your review, you may respond to the 2/3 ^NK"
@AmazonHelp Thank you. How will they contact me? And how do they know which order number this is in reference to?,"@240244 We'll have this reviewed internally. However, If you want to return the item you may approach our support team here: 1/3 ^NK"
@AmazonHelp Item was already returned. I refused to accept damaged product. Pls read original tweet. Issue is that @115850 rejected my product review.,"@240244 As informed earlier, kindly respond to the email correspondence to know the reason for the rejection of your review. ^MK"
@AmazonHelp I got an email that my package was lost in transit. Was directed to the contact us page which is more just a multiple choice test,@416948 I'm sorry for the troubles! Let's try this: https://t.co/hApLpMlfHN. Choose the options that work best. Keep us posted. ^AL
@AmazonHelp Is this a joke? You sent me to the same exact page.,"@416948 Try this. Step 1, choose ""Prime or Something else"" (nothing below it). Then step 2 select More non-order questions &gt; Other. ^MJ"
@115850 I have not received  my Sony headphone even after assurance from customer service after 3 days of expected day of delivery.,@416967 Sorry about the delay. I'd like to assist you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon.^NK
@AmazonHelp  https://t.co/PnzP2A1lg5,@416967 Please don’t provide your order details as it is personal information. Our Twitter page is visible to the public. ^MS
@AmazonHelp  https://t.co/PnzP2A1lg5,"@416967 I get the concern, Abhishek. Please share the details via the link provided earlier and we'll reach out to you soon. ^MS"
"@AmazonHelp FLIPKART HAS IT..
AMAZON DOESNT..
ITS BETTER I SWITCH TO FK..","@210372 and hence is dynamic according to the pincodes and sellers. Further, we'll work on your feedback. (2/2) ^GK"
"@AmazonHelp FLIPKART HAS IT..
AMAZON DOESNT..
ITS BETTER I SWITCH TO FK..",@210372 The list of used products accepted under the Exchange Offer program is dependent on our buyback partners (1/2) ^GK
@115850 https://t.co/6B4KcCgs3L,"@357554 Please don't provide tracking details, we consider it to be personal information. Our page visible to the public. (2/2)^GU"
@AmazonHelp Ok,@357554 Appreciate your patience and understanding. ^MM
@115850 https://t.co/6B4KcCgs3L,@357554 Sorry to know that. As informed earlier kindly get in touch with our support team. (1/2)^GU
@116316 hey mal ne frage alles was ich heute bestellen würde kommt mit Prime erst Dienstag wieso das denn?wir haben Freitag kann doch mit Prime nicht so lange dauern,"@144620 Hi, die Lieferzeit hängt immer davon ab, wo der Artikel gerade auf Lager ist und wohin er soll. Lieben Gruß ^NW"
Ordered from @115821 and their delivery guy gave my package to someone else I don’t know and now there’s ‘nothing they can do’ 😡😡😡😡😡 😡😡,@418468 Oh no! Give us another chance! Reach out to us here: https://t.co/JzP7hlA23B so we can look into this further. ^ZW
"Why can my @115821 2-day shipping, never actually get here in two days","@418897 Hello, Maddy! Are we missing the expected delivery date? You can find out here: https://t.co/Y5jpI9gRhE Please let us know. ^KL"
Hey @UPSHelp @115817 @AmazonHelp ...what the hell?? This is how my new book just arrived. Not cool. https://t.co/rniHx5xhiO,"@419080 Oh no, Aubree! Sorry to see the package has been damaged. Are the contents okay? Please let us know, we're here to help!^KL"
@AmazonHelp @419080 The lady says it’s SCUFFED! This is for sure a code red Amazon.,"@419081 Oh, I'm sorry! Please check replacement/refund options here: https://t.co/INg6l7gBs6

-Agi"
@116875 tengo un problema con un pedido que hice desde lo del buen fin y aun no me han dado solución que procede?,@144755 Hola Manuel. Lamento los inconvenientes que esta situación te pueda causar. ¿Podrías explicarnos qué es lo que ha ocurrido con tu pedido para saber como ayudarte? ^DQ
"@116875 ya llego el pedido, ahora nada más esperar a que llegue el otro
😂 😂
Buen servicio https://t.co/Aya4ndedxD","@144756 ¡Perfecto, Manuel! 😊 ¿Ya sabes cuándo la verás? 😀 ^JQ"
"@AmazonHelp I see my current credit card on file (plus two old expired ones), and I have a chance to add a new method.",@419460 Thanks for letting us know. Please reach out to us via phone here: https://t.co/hApLpMlfHN and we'll take a closer look! ^JO
@115830 why do you lie? Parcel not even left central depot... Your app says on its way today!,"@419465 Huh! That is rather strange, Mac. What does our website say about the shipping? Check here:  https://t.co/Y5jpI9gRhE ^JD"
"@AmazonHelp App says arriving today, no sign and my post isnt delivered direct from Inverness, all parcels for us go via sub PO. https://t.co/GH8ypEjnW8",@419465 We want to make sure it'll arrive. Please take a moment and reach out to us using the link below: https://t.co/JzP7hlA23B ^MJ
Ordered 1 item on 14th oct and shipment dt was 24th.Till now haven't received.Courier service is Delhivery.@115850 @12339 @AmazonHelp https://t.co/FGdtAluGhf,"@419467 Sorry to know your order isn't delivered yet. Kindly fill your details here: https://t.co/GIJyeYqKE0, I'll look into it. ^NR"
@AmazonHelp Given details.,"@419467 Thank you for sharing your details, Bikram. Once we receive them, we'll check and assist you further. ^SV"
@AmazonHelp Hope I'll get a positive response from Amazon.,@419467 Our team is working on it. I'm positive that you will hear from us soon. ^GD
@AmazonHelp @115821 @115830 @116935 @117634 @115851 @144769 @734 @120319 @4871 @120844 @144770 @4211 @127586 @144772 @144773 November 3 then Nov 14 then Nov 17 then Nov 20 then Nov 24 then +1 day +1day... #digitalmafia  in #DigitalIndia @115821 @115830 @115851 @117634 @144769 @120319 @4871 @734 @120844 @144770 @4211 @144773 @144771 @19395 https://t.co/UIvLhXQQo3,@144768 I'm sorry the refund hasn't been credited yet. I'd like to look to know what went wrong and assist you with it. Please share your details here: https://t.co/Y0witc47jc and I'll get back to you on this. ^SH
@AmazonHelp A deceptive intention of emasculated fraudulent mafia #digitalmafia in #digitalindia..this type of reply since 2 months r vindication of mafia @115821 @117634 @115830 @115851 @144769 @734 @120319 @120844 @4211 @4871 @144770 @144772,@144768 Kindly share your details on the link provided earlier so we can look into the issue and assist you accordingly. ^SH
@AmazonHelp Check out Ur database .. don't act like stupid always #digitalmafia in #DigitalIndia  @115821 @117634 @115851 @127586 @120844 @4211 @144772 @144769 @734 @120319 @4871 @144770 @144771 @144773 @116618,"@144768 We have received your details, we are working on it. We will get back to you at the earliest. ^AH"
@AmazonHelp I'd be surprised if this is the case it's very rare in my area to get same day delivery. But ok I will see says should be here by 8pm,@242693 Thank you for your patience! Please keep us posted on the delivery. ^MB
@AmazonHelp I was surprised I got it early this morning. However in my emails it says I was charged one price on the amazon app it has different price? https://t.co/8eGVuGfkby,"@242693 Did the price change after you placed the order? What was the amount you paid, and what is the current price? ^ZW"
@AmazonHelp Unfortunately I don't see it on statement right now I assume I paid $89.99 that's the price on my invoice maybe price went up,"@242693 You'll be charged the lowest price offered from when your pre-order was placed, Andrew! Let us know if this is not the case! ^CS"
@115940 Continuous issues with Hulu app on firestick.  Looking for other streaming solutions! This is horrible. @AmazonHelp,@420869 I'm sorry for the video issues you're facing! We'd love to help; are you seeing any sort of error message while streaming? ^WM
@AmazonHelp It has been a very painful experience.  No particular errors but minutes of restarting the @115940 app to no avail.  Then rebooting #firestick,@420869 Could you explain what is happening when you try to log into the app? These steps might also help: https://t.co/nZjjvj9uQe ^LS
@AmazonHelp Sometimes you get the generic networking error but then reboot stick and all is well,"@420869 To confirm, have the steps listed under ""Issues with a Specific App?"" via the link provided by ^LS been tried? ^TN"
Dear @119625 it's @6714  from #RajaTheGreat Not @6715 please change the Name https://t.co/GyPVcJYzlU,@144967 Thank you for flagging this to us. We have already escalated this to our Prime video team. We’ll get this rectified at earliest. ^EM
"@115850 @115850 tell me this, why are you shadowing the issue by calling it a damaged product was delivered? The product was not delivered at all as the delivery person decided he won't come to the location and asked me to visit the bus stand to collect the product. 1/n https://t.co/T5bf0KdGoE",@144970 Please reply to the email you've received and we'll look into it and reach out to you soon. ^AP
"@115850 your image is being shattered by your delivery men twice in 7days, first with order number 402-7292376-4018711, a two-day delivery product which was delayed by the delivery guy by 2 days and now today 1/n","@144970 Sorry to know you're having trouble with the delivery of your order, we certainly did not expect this to happen. I'd like to take a closer look into this, please share your details on the link here: https://t.co/GIJyeYqKE0 and I'll get back to you soon. 1/2 ^PS"
"@115850 your image is being shattered by your delivery men twice in 7days, first with order number 402-7292376-4018711, a two-day delivery product which was delayed by the delivery guy by 2 days and now today 1/n","@144970 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is visible to the public. 2/2 ^PS"
"@AmazonHelp I watched many movies, especially Arjun reddy in my device airtel 4G Data, there’s no option for SD / HD. Instead of movie plays",@421450 Indicate the quality. Please refer here: https://t.co/U4k358wBgl for more info. (3/3) ^SV
"@AmazonHelp I watched many movies, especially Arjun reddy in my device airtel 4G Data, there’s no option for SD / HD. Instead of movie plays",@421450 Provide the best quality for your available internet bandwidth. Notifications typically display onscreen to (2/3) ^SV
"@AmazonHelp I watched many movies, especially Arjun reddy in my device airtel 4G Data, there’s no option for SD / HD. Instead of movie plays","@421450 When you start watching a video, we'll automatically adjust the picture and audio quality to reduce buffering and (1/3) ^SV"
@117086 Li primeiro A Noiva do Capitão ❤😚😚😚,@171751 Oi Lilly! Você recomendaria esse livro aos nossos amigos leitores?  🙂📚💙 ^JJ
@115821 I'm a big fan but not of your recent customer service! Account was hacked last night. Wife has called 3 times and gotten run around!,@421773 I'm sorry to hear about this! Have you received any e-mail correspondence from one of our Account Specialists? ^JS
"@AmazonHelp @138673@consumercourtin plz help in this as it has nt been 15 days and mob gettng heated, hanged,why shall i keep running behind thid",@421911 I understand your concern but since the return window is over. I request you to contact the manufacturer for further help. ^PJ
@AmazonHelp Plz provide me the details and i dnt want my product to be opened. @138673,@421911 You may visit this link: https://t.co/sCaDfDSxyv to check all the service centers for the product. ^ZH
Hi @AmazonHelp any idea why there’s conflicting price info on this item but it won’t let me select the cheaper? https://t.co/Yz0sZYvwmu,@252066 Are you able to send us the link to that item so we can take a look please? ^CM
"@AmazonHelp Thankyou, I think the cheaper price must be the amazon fresh price?",@252066 We're not able to view the product fully from the screenshot you provided. Can you please send us a link to the product? ^AC
"Wow. Glad my @115821 pantry was just cat food and nothing fragile, right? #KwakityIsJobNone #RethiningPrime https://t.co/gTDPMRaNTn",@123898 I'm sorry your packages arrived this way! We'd like a member of our packaging team to review this: https://t.co/noHLhGyIdr ^FD
"@AmazonHelp もう予定日とか表記すんなや
またいちいち問い合わせなんのかよくそすぎ",@424336 ご迷惑をおかけしております。予定日内にお届けするよう努めておりますが、入荷や配送など様々な状況により遅れる場合がございます。その場合、個々のご注文の状況についてはカスタマーサービスにてお調べしご案内させていただきます。ET
@AmazonHelp 届いてないのに配達完了になってるんですが、日本郵便に問い合せたらいいですか？,@424336 ご迷惑をおかけしております。お客様のかわりに配送業者に確認をとりご対応させていただきますので、お手数ですが先にお送りしたリンクよりカスタマーサービスにご連絡いただきますようお願いいたします。HM
@AmazonHelp 問い合わせてみたところ再配達してもらうことになりました。わざわざTwitterでやり取りありがとうございました。,@424336 さようでございましたか。お手数をおかけいたしました。お届けを今しばらくお待ちくださいませ。よろしくお願いいたします。HM
@AmazonHelp The thing is i had recieved the refund but the order has not been picked up what to do with the stuff should i keep it? Or what to do?,"@423689 Please don't provide your order number, we consider it to be personal info. Our Twitter page is visible to the public. ^MP (2/2)"
@AmazonHelp The thing is i had recieved the refund but the order has not been picked up what to do with the stuff should i keep it? Or what to do?,@423689 Sorry about that. Please share your details using the link provided earlier and we'll connect with you on this. ^MP (1/2)
.@127972 @116618 I cant watch #MIAvsBAL on #TNF with the amazon vid app.  Infuriating and frustrating as hell. Y do I pay 4 prime,@424341 Oh no! Let's get you back to watching. Is there an error code? ^BA
"@AmazonHelp Wenn eine Playlist ausgewählt wird nimmt die app Lieder die nicht heruntergeladen sind, obwohl man wifi only ausgewählt hat und dann kommt es zu einem Fehler.","@145375 Wenn du über Einstellung -&gt; Kundenservice kontaktieren gehst, kannst du über den Button ""Feedback abgeben"" diesen Fehler melden und es erreicht direkt die zuständigen Kollegen. Liebe Grüße ^TA"
@AmazonHelp It is not till now. Please follow up with @149473 and get it done. I can't wait anymore,@319629 Sorry for the hassle. Request you to reply to our email so that we could assist you further. ^GS
"@AmazonHelp Again same behavior from your courier guy. Well done @149473.
Let me know of I should get legal help to get my pickup done.",@319629 I'd like to work on this right away. Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^SA
@AmazonHelp And now it's canceled. @149473  Don't you have control over your employees. @115850 I am going to consumer forum for thin now.,@319629 Apologies for the inconvenience with the pick-up. Could you kindly confirm if you've reverted to the email sent by our team? ^AP
"@AmazonHelp Which e-mail? How many times I have to explain same thing to you guys. If you want info, call me on 7757070107. I am done with you guys.",@319629 I see that we've sent you a correspondence. Kindly check the same here: https://t.co/EiZnaHzF90 and revert back to us. ^JS
Te amo con locura @116875 😭😭😭❤️❤️❤️❤️ https://t.co/uBqMgIj5Ep,@424864 ¡Nosotros también te amamos con locura! 😍 ¿Ya lo estrenaste? 😊 ^JQ
No puedo dejar de comprar en @116875 ayuda 😭,"@424868 😮 ¡Me pasa lo mismo! Cuéntanos, ¿qué has comprado recientemente? 😊 ^JQ"
@AmazonHelp Jaja papel higiénico saludos,@424868 ¡Estamos acá para todas tus necesidades! 😉 ¡Saludos! ^JQ
@115821 is always freaking me out choosing the wrong delivery updates. Tell me how it says “hand delivered to Alexandra” when no one is home,@424872 Oh no! That's odd! Did you receive your package?  ^AG
@AmazonHelp Not sure I wont be home till tomorrow Its not the first time it’s happened It’s usually at my door getting that text just makes me nervous,@424872 I'm sorry for any frustration this has caused. If you're unable to locate your package when you get home please let us know. ^LR
"@115850 
Pls deliver the product today itself.

@4030 ,@49157 

See the bad service of Amazon. https://t.co/W3tGX55itO","@424980 Sorry to know about the delay, Joisher. Please reach us from here: https://t.co/rS49hgaADF we'll check and assist. ^SV"
Delayed! Why amazon why??,"@425091 Sorry for the delay. Which Amazon site did you order your item from? (https://t.co/nUUp5MLhYl, https://t.co/st4oU5QbhP etc) ^YM"
@AmazonHelp I already replied on it yesterday but till now there is no call and msg,"@145540 We have checked if from our end, no correspondence sent. An email has already been sent with a reply. Kindly check it from the link shared here: https://t.co/NTkrxpsbHJ and reply to it for further assistance. ^HR"
"@AmazonHelp Is there any status of my product, it's now more than 72 hours",@145540 Apologies for the stretch. Kindly reply to the correspondence sent by us and we'll get in touch with an update. Appreciate your understanding. ^AK
@AmazonHelp From Friday I m waiting,"@145540 My sincere apologies for the trail with your concern. As informed earlier, please wait and we'll have this resolved at the earliest. ^KH"
@AmazonHelp i already filled the form  &amp; now arrange to solve the issue,@425929 We have sent you an email correspondences here: https://t.co/DTSNmGldJf. Kindly check. ^SY
@AmazonHelp Its officially on a delayed status. 😩,"@426049 I hate to hear that, Robbie! Was there a reason given for the delay? Did you receive a new delivery date? ^CN"
"@AmazonHelp Release day delivery. It’s supposed to be here by 8pm, but it’s over 2 hours away from my house and USPS is already out for delivery.",@426049 I'm sorry for the wait. Carriers still can deliver up until 10pm. Please keep us updated on the delivery of your movie. ^MH
"When you’re supposed to get release day delivery, but that obviously isn’t going to happen. 😡😡😡 Thanks, @115821. https://t.co/3TWvdzUloX",@426049 Oh no! What was the estimated delivery date sent in your order confirmation? This email can be in spam/junk as well. ^VB
"@AmazonHelp Ficarei, pó deixar ;)","@426275 Qualquer dúvida, estamos à disposição. 😉 ^VM"
@AmazonHelp Yeah said it would be delivered within 24 hours nothing arrived yesterday said wait another 24 hours and still nothing?,@426407 Oh no! Please allow us another chance to review available options with you here: https://t.co/JzP7hlA23B ^AB
@AmazonHelp I’ve done all that and seem to get nowhere,"@426407 When you spoke with us via phone/chat, what insight or options were provided? Please, let us know, we're here for you! ^JE"
@AmazonHelp I have dropped in details at least twice on this link and you have not helped.,@426475 once again from your registered Amazon account with the help of the link provided earlier and we'll get back to you. (2/2) ^SY
@AmazonHelp Still awaiting revert!!,"@426475 As you have filled the details, you will receive an email correspondence here: https://t.co/UzOeTZyrYU ^RW"
@AmazonHelp I have dropped in details at least twice on this link and you have not helped.,@426475 I understand your concern. We haven't received your details yet. Kindly fill in your details (1/2) ^SY
"@115850 pathetic customer service continues. Pack not picked up despite 10+calls &amp; no site of refund despite commitments.
CC @115851",@426475 Please drop your details here: https://t.co/dPTQkF3hJ5 so that we can get in touch with you. (2/2) ^VM
"@115850 pathetic customer service continues. Pack not picked up despite 10+calls &amp; no site of refund despite commitments.
CC @115851",@426475 That's strange. I'm sorry for the delay in picking up your order. Let me investigate this further and help assist. (1/2) ^VM
"@AmazonHelp So if it becomes a standard delivery, why call it prime?",@384147 feedback to the concerned team internally. 2/2 ^AP
"@AmazonHelp So if it becomes a standard delivery, why call it prime?","@384147 I understand your concern. However, kindly wait for the estimates provided. I'll be sure to forward your 1/2 ^AP"
@115850  gud job Amazon.... placed order to Karnataka...but it's delivered to kataria Enterprise Delhi😂...,@337018 That's strange. Apologies for the trouble. Please connect with us here: https://t.co/00q4Sqj9zL and we'll check this. ^KA
@AmazonHelp リプライありがとうございます。心当たりはなかったのですが、一応こちらでも調べた結果、よくある架空請求の類いであると判断しましたので連絡はしておりませんし、するつもりはありません。単なるつぶやきに対応していただき、ありがとうございました。,@426696 左様でございましたか、既にお気づきのところ不要なご案内となり失礼いたしました。今後もどうぞお気を付けくださいませ。　リプライありがとうございました。　SM
"@AmazonHelp I've been updated so many time ask your jokers Ruth J, Guddi and Mobeen even you can ask @115851 as well; I don't want to share with u",@158494 You may revert to our correspondence if there's any pending concerns. ^JC
@115850 YOUR WEBSITE IS GARBAGE! I couldn't check out and now the phone isn't available. F U!,@427328 place the order with us. Please stay tuned for the product to get back in stock again. 2/2 ^AB
@115850 YOUR WEBSITE IS GARBAGE! I couldn't check out and now the phone isn't available. F U!,"@427328 Sorry to know about your experience with us, Keshav. We realize you are eager to 1/2 ^AB"
"@115850  Unable to what they promised not gave one plus 5 offer only  sale product after they Dont care also not return back,Its hopless😡",@118703 Sorry for the inconvenience. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. ^MK
"@AmazonHelp Still their is no response from your side no one come for investigation As you mention in your tweet i have provide my detail on your link
This is the way of your work its really to bad service","@145711 Sorry for the miss, Pratap. We'd like to have a closer look on this issue. Please fill this form: https://t.co/beaaDm0muc and we’ll contact you soon. ^RI"
"“Inspired by your purchase of &lt;bundle with item x in it&gt;, we thought you might like to buy item x”. Er, you shipped me one a couple of days ago already @115830 ....","@145715 Hi, you can change your communication preferences here :https://t.co/EcVrgGiZkD ^CR"
"@AmazonHelp Yes, butvthey lied. Told me carrier and said they would contact and call me back. The never called. I hsdvto make 2 additional calls",@118709 I'm sorry you've had to invest so much time in this! Were we able to help resolve the issue on the last call? ^TL
@AmazonHelp .de but I'm hearing that everyones order on this dvd got cancelled,"@428022 Korrekt, da es diesen Artikel nun doch nicht geben wird. :-( ^KM"
@AmazonHelp gar nicht mehr?? oder nur nicht über amazon verkauft?,"@428022 Genaueres kann dir da Tokio Hotel direkt sagen, ob da überhaupt noch was kommt oder nicht. ^KM"
@115850 Was happy regarding your fast delivery but got defective product.,@428314 Sorry for the defective product. Please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly.^SC
"@115850 Got my order of Sony zx110a. The product has defective ear pads. Disappointed. When asked for a replacement,","@428314 I'm sorry, we never intended this. Did you report this to our customer service team here: https://t.co/vlvfJr4nN9? ^SI"
@AmazonHelp No but I opted for the replacement but the site said that I have to pay for the delivery of damaged item,@428314 Sorry to know about the damaged product. Please connect with us using the link provided above and we'll check. ^KA
Thought it was over but then @120474 delivered with 02 tickets #flightoftheconchords ​https://t.co/OiN7QPfnJ8,@428662 Enjoy the tickets 😎 ^CR
"OK . where is my product . why are you canceling my orders scenes September 2016 
suffering from @115850 https://t.co/M1xjuVgrra","@428543 We understand your discomfort here. Like mentioned earlier, we notify the reason for cancellation via mail. ^JC"
@115850 being a PRIME member this is unacceptable! My ORDER # 405-0766216-6561907 was scheduled to be delivered today but now it shows UNDELIVERABLE..!!,"@145870 I'm sorry your order shows as un-deliverable. Please report it to our support team here: https://t.co/2t6DQoUmNZ. We'll look into it and help you out. Also, please don't provide your order details, as we consider it to be personal information. ^AP"
@AmazonHelp I am not able to find the required information. Please advise.,@145902 Please select the option of 'more non-order questions' and drop us an email so we can forward your query to our relevant team. ^SH
"@AmazonHelp Yes it says it will arrive today by 8pm. However, the last few deliveries have also said that and when it’s nearly 8pm they say delivery unsuccessful. We were home for all the deliveries. https://t.co/gD5QZAOJrx","@145904 Hi there, I am sorry to hear that you have had unsuccessful deliveries in the past. You can add preferences to your account, the info is here: https://t.co/hfRJGkDn02 ^HS"
@AmazonHelp I’ve been a customer for years and I’m also a prime customer. I just want my deliveries on time. That’s all.,"@145904 I understand Lillie, if your package doesn't come by 8PM today please get in touch with us and we can investigate for you. ^HS"
"@AmazonHelp So my package came and I wasn’t in, told the delivery man to leave it in the safe place, as I can talk to him through the intercom on my phone and he just totally dismissed it and went away without delivery! 😡 i think im through with amazon!","@145904 I'm sorry for the poor delivery experience, Lillie! Please give us a call or chat here, https://t.co/JzP7hlA23B, so we can investigate this together. ^TG"
@AmazonHelp Due to GST every state have same MRP now and this product is manufactured after GST how you can charge more than MRP explain this or I will go to the consumer court,"@145909 I get your concern. As mentioned earlier, the M.R.P. displayed for products on our website represents the full retail price listed on the product itself as shared by Manufacturers, Distributors or Sellers. Please refer to the link provided earlier for more details. ^AP"
@115850 Why airtel mobile recharge not available on @115823 #AmazonPayQuiz,"@192004 We value your recommendations 
 I'll ensure to share your comments internally to work on. ^CB"
So my @121284 will be arriving before 31st of October Thanks @115850 guys for speedy shipping. https://t.co/bzz8R4IxX7,@350881 Glad to hear that Echo is arriving early.  Do keep us posted for any further concerns. 😊 ^VN
"@AmazonHelp UPS, which is odd seeing as they delivered the packages I ordered on the same order THIS MORNING, and I now am emailed saying it will not be delivered until Monday 👍🏻😤😤 https://t.co/ubgwn5mbYE",@430547 We'd like to take a closer look at this with you. Please reach us via phone/chat here: https://t.co/hApLpMlfHN ^KP
@115850 Done ✅ already hope you notice my efforts,@430891 Sounds perfect ! Dishank. All the best. ^KS
@AmazonHelp I want a resolution now.its a 3rd day and still no action.,@431896 Sorry for the delay. You should've received an update here: https://t.co/OgXOwEaKeu Kindly check and respond. ^NS
"@AmazonHelp No it's nt an update.Earlier thy mentiond 24-48 hrs n nw thy mentioned 3-5 biz days.Evry time I reach out 2 u, u guys wl extend resoln time.",@431896 Apologies for the delay in resolving your query. Kindly wait till you receive an update. Appreciate your patience. ^AK
"@AmazonHelp Danke, Ihr könnt mich gerne heute direkt noch anrufen. Danke. 😇","@146143 Bitte 😊 Danke für das Angebot! Vorab können wir dir leider noch nicht versprechen, ob es heute noch klappt. Das hängt von den notwendigen Maßnahmen ab. Sobald wir mehr wissen, melden wir uns bei dir. Gruß ^MH"
"@AmazonHelp Ja, sie wissen nicht, warum es nicht verschickt wird und ja das war's. Ich solle mich gedulden. So langsam fehlt mir die Geduld. Man wird doch wissen, woran es hängt.","@146143 Bitte melde dich direkt bei uns, dem Amazon.de Social Media Team, dann gehen wir der Sache gerne noch mal nach: https://t.co/OrmRHrb4p9 ^AW"
"@AmazonHelp Wisst Ihr, was schön wäre? Wenn meine Bestellung, die gestern ankommen sollte endlich Mal versendet wird!","@146143 Hast du von den Kollegen schon eine Rückmeldung bekommen, bzw. dich im Kundenservice gemeldet? Gruß ^AN"
@146154 @AmazonHelp I had a $100. credit so @115821 cancelled my daughter's 2 presents and processed 3 junks items I ordered for 15.00  so I lost the sale price &amp; claimed my card was declined for the diffence. They chose what to cancel.  Called rep.she was so rude made me cry! Refused a supervisor.,"@144469 Hello! Sorry to hear this, what was advised when you contacted us?^CN"
@AmazonHelp The card was not declined.. you have charged my card but stating payment failure,"@146154 This might be the case where payment was approved after the payment gateway was closed. In this case, the bank shall automatically reverse the charge. Kindly connect with them. ^SH"
"@AmazonHelp I was looking for product.
I started placing order from 22-nov itself but your amazon app (which is crap) didnt send me OTP on time and few times transaction got declined.",@146154 I am sorry to hear about the issues you are having. When your card issuer declines a charge they don't inform us the reason why. You can get in touch with your card issuer for more info.^SM
@AmazonHelp Sur la page d'accueil de l'application,"@146159 Veuillez vous assurer que vous êtes éligible en vérifiant les conditions sur la page suivante : https://t.co/v898SjiOWk
^ARC"
@115850 so is there any plan to launch own mobiles orelse the same supporting for other brands,@127741 We don't have any announcement yet. ^SY
@AmazonHelp So is there any idea to initiate or to stop cheap items to sell in Amazon by sellers,"@127741 All the products sold on Amazon.in or verified and genuine. However, if you've faced any such issue you can report it to our support team here: https://t.co/vlvfJr4nN9 Also, I'll pass on your feedback internally. Appreciate your understanding. ^EM"
"@AmazonHelp Yes I agree, products are genuine. However if a customer resends the product due to defect or not functioning well. So what should Amazon do. Shuld amzn resell the product to another customer. Or else the product should be sent to seller saying not to sell this as it is defect","@127741 I get your concern, Satish. I'd like to inform you that if a product is returned due to a defect or damage, it would automatically be returned to the seller. However as informed earlier, I've forwarded your feedback to the concerned team. ^EM"
What a way to start a Friday. Beyond annoyed with @115821 customer service.,"@433135 I'm sorry we've let you down, Chris. Without providing sensitive info, can you tell us more detail on what's going on? ^HS"
"@AmazonHelp Customer service make guarantees they can't keep, and I cycle through a rude associate and one that just sends fairly canned responses.",@433135 Do you need help with a current order? Please tell us more about the reason you called. We'd like to try to help. ^CO
"@AmazonHelp It's a current order that will be returned upon receipt, as the guaranteed delivery CS gave was not met. Lesson learned.",@433135 Please reach out to us if you need any help with this return. ^WM
@AmazonHelp  https://t.co/k2DlCi9U4P,"@433139 Je vous invite à contacter notre SAV en cliquant sur le lien suivant : https://t.co/qzuu0dgDXz
^MD"
@AmazonHelp  https://t.co/k2DlCi9U4P,"@433139 Pour vérifier la raison du retard, je dois accéder à votre compte. Or, cela n'est pas possible via Twitter. 1/2
^MD"
@AmazonHelp Je sens que je vais encore être déçu par la fiabilité de @AmazonHelp quand je suis coincé et dans l'urgence. 12 minutes.,@391986 Je vous propose de contacter notre SAV : https://t.co/qzuu0dgDXz afin de vérifier le suivi de plus près et vous en dire plus. ^MH
